,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue,BRP,BTP
132,0.5844071114010765,0.0460773120208775,0.0639373674767574,0.2691241233077801,0.0364540857935084,5.912,762.312,2.356,145.0,806.0,513.309,65.17791452996819,88.12004046673626
133,0.589488288582388,0.0474169591120541,0.063576267036644,0.2628743981065861,0.0366440871623275,5.905,741.636,2.354,145.0,805.0,526.007,63.50892409681878,87.110393896136
134,0.5816309719934102,0.0465403624382207,0.0650741350906095,0.2697693574958814,0.036985172981878,5.894,742.125,2.355,145.0,800.0,526.984,68.29788726024437,85.776255382255
135,0.5851760851760852,0.0461097461097461,0.0632268632268632,0.268959868959869,0.0365274365274365,5.883,750.02,2.348,144.0,801.0,515.263,68.2202722455527,86.58590831703653
136,0.5822753706282251,0.0461954296011139,0.062822507985912,0.2716029158817266,0.0371037759030223,6.04,750.672,2.363,144.0,805.0,510.379,66.95948180391657,87.28667375768364
137,0.5863963163421925,0.0462072865336456,0.0629291542127797,0.2679537927134663,0.0365134501979158,5.927,750.672,2.362,146.0,820.0,493.773,67.31120532547595,87.03447888908613
138,0.5878931847968545,0.0473460026212319,0.0620904325032765,0.2657273918741809,0.036942988204456,5.901,741.392,2.354,146.0,853.0,505.495,69.20559556005537,86.39500658861132
139,0.5878931847968545,0.0473460026212319,0.0620904325032765,0.2657273918741809,0.036942988204456,5.901,741.392,2.354,146.0,853.0,505.495,69.20559556005537,86.39500658861132
140,0.5943218183310085,0.0466070402888323,0.0624435874292278,0.2600311807663903,0.0365963731845409,5.989,740.415,2.361,146.0,868.0,514.286,71.52070854392551,86.13784763588681
141,0.5865090518310325,0.0467057948251632,0.0626601636769447,0.2674216747954038,0.0367033148714557,5.956,741.066,2.346,145.0,883.0,500.611,70.81319995812811,86.89154536424769
143,0.5835112497947118,0.0473805222532435,0.0615864674002299,0.2701593036623419,0.0373624568894728,6.11,728.368,2.354,147.0,855.0,525.031,69.83167878778197,86.52278226253702
