,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue
405,0.6009144874057437,0.04901331622011872,0.06497673672388898,0.2479544360660998,0.03714102358414889,5.974,756.37,2.4,147.0,857.0,635.409
406,0.6018164435946463,0.04979286169534736,0.0648502230720204,0.24673358827278521,0.03680688336520076,6.223,745.869,2.404,148.0,868.0,640.293
407,0.5938228906941205,0.051154186439314735,0.0649079063781871,0.2537601544277327,0.03635486206064506,6.029,742.939,2.403,150.0,876.0,632.479
408,0.6067406627238111,0.050717005590213075,0.062302519646763345,0.24337681276837075,0.03686299927084178,5.806,740.008,2.411,149.0,878.0,629.548
409,0.6003066494512589,0.04995158166559071,0.06415429309231764,0.24757908327953523,0.03800839251129762,6.183,741.555,2.404,149.0,890.0,649.084
410,0.6020457866536776,0.05130703036207178,0.06608215619418738,0.24257184607890894,0.037993180711154415,6.425,754.579,2.411,150.0,908.0,643.223
411,0.6020678047607598,0.050252464534743926,0.06331650236435041,0.24773583393443938,0.0366273944057065,6.527,735.938,2.406,149.0,919.0,647.131
412,0.6064792373566005,0.048877039909516896,0.06543868153174988,0.2416383906931653,0.03756665050896753,6.758,733.659,2.406,151.0,925.0,598.291
413,0.6024920596139751,0.05195862855281375,0.06604772375600618,0.24244645329424222,0.03705513478296279,6.073,739.52,2.406,150.0,922.0,592.43
414,0.6040328481990406,0.0504919099113749,0.06488332384746728,0.24359704040978944,0.03699487763232783,5.908,737.241,2.404,149.0,915.0,603.175
415,0.6037212338828137,0.05018769381426473,0.06316304880039171,0.24628692671780641,0.036641096784723354,6.234,721.612,2.398,150.0,910.0,573.871
416,0.6000802568218299,0.04975922953451044,0.0630016051364366,0.24975922953451044,0.03739967897271269,5.967,728.287,2.408,149.0,911.0,567.033
417,0.5982056256062075,0.051972195279663756,0.06530876172001293,0.24660523763336564,0.037908179760750074,5.659,744.485,2.4,150.0,908.0,564.103
418,0.5983851433185305,0.049414614452967305,0.06419055308841341,0.25062575696406947,0.03738393217601938,6.304,745.95,2.402,148.0,905.0,566.056
419,0.6080726056842608,0.0489610699785049,0.06432608868720643,0.2418597245442242,0.03678051110580368,6.473,755.718,2.401,150.0,899.0,571.917
420,0.6080726056842608,0.0489610699785049,0.06432608868720643,0.2418597245442242,0.03678051110580368,6.473,755.718,2.401,150.0,899.0,571.917
421,0.6011509871313243,0.050915194628726713,0.06530253377028215,0.24570378067300774,0.036927503796658934,6.048,755.8,2.403,147.0,900.0,557.265
422,0.6036570499796831,0.05193010971149939,0.0641202763104429,0.24323445753758632,0.0370581064607883,6.293,776.068,2.403,149.0,910.0,562.149
423,0.6085189400097544,0.04909770768980653,0.06332303690456835,0.24264347260608027,0.03641684278979027,5.919,747.009,2.4,147.0,911.0,558.242
424,0.605557792992348,0.05106725734997987,0.06322996375352395,0.2427708417237213,0.03737414418042691,6.381,739.031,2.404,149.0,915.0,568.01
425,0.5979635408112991,0.05206109377566103,0.06602069305304648,0.24593529315158486,0.03801937920840861,6.161,731.95,2.411,147.0,910.0,565.079
426,0.5974331898302331,0.049549183656892204,0.06555113313297051,0.249451709852977,0.03801478352692713,5.949,751.323,2.407,148.0,898.0,576.801
427,0.5956802748915978,0.05121492268673812,0.06553219340587417,0.249447762415119,0.038124846600670864,5.659,733.415,2.408,146.0,892.0,573.871
