,0
668,77.96653
669,78.28074
670,76.255905
671,76.02952
672,79.14364
673,77.09745
674,77.246445
675,77.554245
676,77.86721
677,75.980774
678,75.84233
679,78.950455
680,76.90508
681,77.05088
682,77.37729
683,77.691956
684,75.74775
685,75.6329
686,78.744026
687,76.73954
688,76.883575
689,77.31457
690,77.62052
691,75.671104
692,75.597755
693,79.104675
694,77.01847
695,77.16554
696,77.61324
697,77.83343
698,75.837746
699,75.68535
700,79.03222
701,76.97941
702,77.14841
703,77.40613
704,77.702
705,75.72895
706,75.53705
707,78.875824
708,76.84178
709,77.050064
710,77.4115
711,77.625336
712,75.62616
713,75.44586
714,78.84611
715,76.80102
716,77.047035
717,77.45089
718,77.689445
719,75.74263
720,75.57526
721,78.99738
722,76.906
723,77.12693
724,77.402885
725,77.717995
726,75.70528
727,75.53615
728,78.59616
729,76.64051
730,76.81845
731,77.15445
732,77.451775
733,75.496
734,75.25898
735,78.72138
736,76.61255
737,76.822296
738,77.15748
739,77.341324
740,75.334145
741,75.11612
742,78.90135
743,76.78939
744,76.81917
745,77.18857
746,77.553406
747,75.54828
748,75.291626
749,78.64214
750,76.53832
751,76.725426
752,77.097984
753,77.3218
754,75.3592
755,75.17732
756,78.316696
757,76.30944
758,76.5627
759,76.934875
760,77.17072
761,75.169975
762,74.948364
763,78.53769
764,76.43983
765,76.607925
766,76.973526
767,77.27564
768,75.34684
769,75.14617
770,78.286095
771,76.14334
772,76.31186
773,76.69137
774,77.012955
775,75.005486
776,74.78157
777,78.23479
778,76.15177
779,76.34966
780,76.80782
781,77.03207
782,74.997826
783,74.73745
784,78.092
785,75.946434
786,76.15235
787,76.5906
788,76.8447
789,74.912
790,74.742516
791,78.323326
792,76.2554
793,76.43835
794,76.852684
795,77.04849
796,75.22587
797,74.96729
798,77.771675
799,75.70327
800,75.91475
801,76.374825
802,76.61999
803,74.67181
804,74.49977
805,78.23832
806,76.16564
807,76.35895
808,76.79201
809,76.97152
810,75.0399
811,74.74663
812,78.05324
813,75.92664
814,76.133835
815,76.615005
816,76.79395
817,74.75912
818,74.53644
819,77.84238
820,75.72956
821,75.93288
822,76.41466
823,76.58227
824,74.64019
825,74.41903
826,77.83953
827,75.63065
828,75.84828
829,76.29093
830,76.50612
831,74.5977
832,74.331955
833,77.930084
834,75.75575
835,75.93046
836,76.37967
837,76.58902
838,74.61816
839,74.331505
840,77.537766
841,75.44161
842,75.63125
843,76.15849
844,76.410286
845,74.44332
846,74.0342
847,77.59077
848,75.39695
849,75.5328
850,76.02373
851,76.23398
852,74.25396
853,73.98079
854,77.66482
855,75.48165
856,75.681305
857,76.11517
858,76.2745
859,74.281494
860,74.0016
861,77.477356
862,75.32721
863,75.59301
864,76.13471
865,76.344574
866,74.31642
867,74.1111
868,77.609886
869,75.33367
870,75.52937
871,76.051544
872,76.31909
873,74.3452
874,74.0341
875,77.64697
876,75.395706
877,75.58996
878,76.048225
879,76.25042
880,74.190994
881,73.952385
882,77.37411
883,75.104225
884,75.31584
885,75.88803
886,76.11142
887,74.12617
888,73.81937
889,77.452156
890,75.249466
891,75.45376
892,75.8604
893,76.01928
894,73.9634
895,73.673645
896,77.31076
897,75.10317
898,75.319214
899,75.819756
900,75.92096
901,73.930275
902,73.629295
903,77.38282
904,75.14704
905,75.304886
906,75.68242
907,75.85631
908,73.86097
909,73.63135
910,76.97609
911,74.76485
912,74.98473
913,75.46991
914,75.73138
915,73.68684
916,73.49766
917,77.13057
918,74.87884
919,75.12425
920,75.64825
921,75.796906
922,73.83337
923,73.50203
924,77.05424
925,74.77354
926,75.02187
927,75.57425
928,75.79098
929,73.83562
930,73.5293
931,77.12319
932,74.79959
933,75.00644
934,75.488144
935,75.66479
936,73.615654
937,73.32547
938,77.02833
939,74.66726
940,74.85296
941,75.3665
942,75.56953
943,73.601776
944,73.29641
945,77.10085
946,74.80733
947,75.00239
948,75.46429
949,75.6585
950,73.6072
951,73.15729
952,76.65513
953,74.38916
954,74.64488
955,75.15801
956,75.3482
957,73.397484
958,72.99007
959,76.82225
960,74.538506
961,74.78188
962,75.313095
963,75.453026
964,73.56454
965,73.23354
966,76.741005
967,74.48754
968,74.6883
969,75.20906
970,75.38874
971,73.416084
972,73.13294
973,76.7186
974,74.43303
975,74.601685
976,75.08815
977,75.29253
978,73.35739
979,72.97773
980,76.510506
981,74.25625
982,74.54756
983,75.02645
984,75.23687
985,73.253815
986,72.887245
987,76.760704
988,74.486145
989,74.66719
990,75.09249
991,75.30689
992,73.28746
993,72.932434
994,76.49776
995,74.18457
996,74.43419
997,74.886055
998,75.08138
999,73.1624
1000,72.876625
1001,76.26496
1002,73.94123
1003,74.22921
1004,74.74681
1005,74.90329
1006,72.98241
1007,72.697876
1008,76.40169
1009,74.012054
1010,74.21428
1011,74.713066
1012,74.87445
1013,72.80487
1014,72.5657
1015,76.31494
1016,74.027306
1017,74.29924
1018,74.6901
1019,74.80787
1020,72.77702
1021,72.47657
1022,76.39274
1023,73.99619
1024,74.24132
1025,74.71562
1026,74.81824
1027,72.842674
1028,72.46757
1029,76.39476
1030,74.08465
1031,74.34244
1032,74.83766
1033,74.97948
1034,73.05891
1035,72.78914
1036,76.33999
1037,74.00987
1038,74.31455
1039,74.77608
1040,74.86424
1041,72.877396
1042,72.55357
1043,76.15576
1044,73.81295
1045,74.10192
1046,74.575874
1047,74.75048
