,index,others,海通期货,国泰君安,中信期货,东证期货,银河期货,兴证期货,广发期货,华泰期货,方正中期,申万期货,国投安信,国信期货,上海中期,徽商期货,光大期货,新湖期货,永安期货,宏源期货,中信建投,南华期货,金瑞期货,中融汇信,东方财富,长江期货,平安期货,国富期货,西部期货,瑞达期货,华闻期货,鲁证期货,招金期货,中银国际,浙商期货,中辉期货,华鑫期货,铜冠金源,招商期货,同信久恒,华安期货,齐盛期货,经易期货,弘业期货,五矿经易,宝城期货,建信期货,五矿期货,瑞龙期货,东航期货,中证期货,roll_yield,spot_price,near_contract_price,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,label
454,455,165020.0,3695.0,6505.0,6830.0,7674.0,7868.0,7564.0,3934.0,0.0,4422.0,9103.0,0.0,0.0,3757.0,0.0,3991.0,3770.0,0.0,0.0,0.0,0.0,0.0,31251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3505.0,0.0,9599.0,0.0,0.0,0.0,-0.020931749188750324,240.25,240.15,242.05,-0.09999999999999432,1.8000000000000114,-0.0004162330905306266,0.0074921956295526115,0.6610204503201911
455,456,85431.0,2052.0,2893.0,12524.0,4778.0,2337.0,3607.0,3106.0,0.0,2044.0,4177.0,0.0,0.0,2038.0,0.0,1598.0,2281.0,0.0,0.0,0.0,0.0,0.0,18363.0,0.0,2333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2236.0,0.0,5481.0,0.0,0.0,0.0,-0.02025997672379338,240.28,240.25,242.15,-0.030000000000001137,1.8700000000000045,-0.00012485433660724965,0.007782586981854411,0.04129671691100323
456,457,144756.0,3008.0,5165.0,20328.0,8357.0,4352.0,6419.0,6036.0,0.0,5887.0,7595.0,0.0,0.0,3254.0,0.0,4377.0,5632.0,0.0,0.0,0.0,0.0,0.0,30386.0,0.0,2970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6652.0,0.0,0.0,0.0,-0.013349536591050436,236.6,237.25,239.6,0.6500000000000057,3.0,0.0027472527472527375,0.012679628064243387,-1.0642737896494205
457,458,118889.0,2636.0,3315.0,15621.0,7121.0,3426.0,4607.0,3525.0,0.0,4755.0,5073.0,0.0,0.0,3103.0,0.0,0.0,2337.0,0.0,0.0,0.0,0.0,0.0,22046.0,0.0,3451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9136.0,0.0,0.0,0.0,-0.021158777885658286,236.5,236.05,238.1,-0.44999999999998863,1.5999999999999943,-0.0019027484143763207,0.006765327695560153,-0.629987400251995
458,459,51462.0,2066.0,1665.0,2943.0,2512.0,2602.0,2748.0,1534.0,0.0,1809.0,1911.0,0.0,0.0,1232.0,0.0,1347.0,0.0,1540.0,0.0,0.0,0.0,0.0,13286.0,0.0,2299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,0.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02308170932634595,236.3,236.0,237.8,-0.30000000000001137,1.5,-0.0012695725772323696,0.006347862886161737,-0.1261564339781257
459,460,51601.0,2290.0,1654.0,6493.0,7114.0,1372.0,3764.0,1488.0,0.0,1783.0,3452.0,0.0,0.0,1466.0,0.0,935.0,1345.0,1984.0,0.0,0.0,1048.0,0.0,7761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,0.0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,0.0,0.0,0.0,-0.011572443544969427,237.39,236.85,238.95,-0.539999999999992,1.5600000000000023,-0.002274737773284463,0.006571464678377437,0.4812722326846526
460,461,96501.0,2768.0,3460.0,13104.0,6883.0,3592.0,4715.0,3262.0,0.0,2557.0,3595.0,0.0,0.0,1678.0,0.0,0.0,4262.0,0.0,0.0,0.0,1968.0,2307.0,21839.0,0.0,7513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3556.0,0.0,2461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1682.0,0.0,0.0,0.0,-0.02076954196240353,237.39,239.3,241.05,1.910000000000025,3.660000000000025,0.008045831753654475,0.015417667130039225,0.871188550093351
461,462,107248.0,2251.0,4151.0,15377.0,7251.0,5468.0,4704.0,5664.0,0.0,2370.0,3251.0,0.0,0.0,2286.0,0.0,0.0,4270.0,0.0,0.0,0.0,0.0,0.0,20780.0,0.0,0.0,0.0,0.0,0.0,2063.0,0.0,0.0,0.0,0.0,0.0,0.0,5631.0,0.0,0.0,0.0,2524.0,0.0,0.0,0.0,0.0,2477.0,0.0,4912.0,0.0,0.0,0.0,-0.021601728052216676,238.65,238.65,240.05,0.0,1.4000000000000057,0.0,0.005866331447726747,-0.41657987919183503
462,463,157259.0,0.0,4567.0,24771.0,7038.0,4929.0,7468.0,3831.0,0.0,3231.0,3596.0,0.0,0.0,2976.0,0.0,3291.0,4719.0,0.0,0.0,0.0,0.0,0.0,33410.0,0.0,5134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6243.0,4104.0,6160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9208.0,0.0,0.0,0.0,-0.019859885611922982,240.5,241.4,242.65,0.9000000000000057,2.1500000000000057,0.003742203742203687,0.008939708939708968,1.0715021636101358
463,464,44875.0,1296.0,1235.0,5643.0,5414.0,2513.0,2684.0,1206.0,0.0,2364.0,2254.0,0.0,0.0,1961.0,0.0,984.0,1591.0,0.0,0.0,0.0,817.0,0.0,7505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2192.0,0.0,0.0,0.0,-0.010271063943232865,239.8,241.3,241.4,1.5,1.5999999999999943,0.006255212677231059,0.006672226855713115,-0.5178127589063795
464,465,157055.0,4000.0,4871.0,26296.0,6215.0,5091.0,6848.0,4668.0,0.0,3418.0,6656.0,0.0,0.0,3371.0,0.0,0.0,4113.0,3037.0,0.0,0.0,0.0,0.0,34746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3995.0,0.0,5701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10393.0,0.0,0.0,0.0,-0.011547376188852704,239.8,239.15,242.8,-0.6500000000000057,3.0,-0.0027105921601334737,0.012510425354462118,0.5766062602965426
465,466,158529.0,3735.0,4430.0,24080.0,6199.0,5011.0,8363.0,3134.0,0.0,3652.0,7879.0,0.0,0.0,2994.0,0.0,3527.0,5882.0,3653.0,0.0,0.0,0.0,0.0,34813.0,0.0,0.0,0.0,0.0,0.0,3078.0,0.0,0.0,0.0,0.0,0.0,0.0,10475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7455.0,0.0,0.0,0.0,-0.010682970840668004,243.7,239.15,245.35,-4.549999999999983,1.6500000000000057,-0.01867049651210495,0.006770619614279827,1.039331567148964
